order_id,customer_id,age,gender,product_id,country,signup_date,last_purchase_date,cancellations_count,subscription_status,unit_price,quantity,purchase_frequency,product_name,category,Ratings
ORD5000,CUST1000,39,Female,PROD200,Canada,2021-07-01,2023-02-21,0,active,78.21,5,37,Football,Sports,4.2
ORD5001,CUST1001,61,Female,PROD201,USA,2020-10-19,2021-08-12,0,active,64.02,8,35,Refrigerator,Home,4.0
ORD5002,CUST1002,26,Female,PROD202,Pakistan,2023-10-06,2023-04-09,3,cancelled,604.14,2,44,Hoodie,Clothing,3.9
ORD5003,CUST1003,54,Male,PROD203,India,2023-07-30,2024-02-20,4,paused,84.66,4,1,Conditioner,Beauty,4.2
ORD5004,CUST1004,50,Male,PROD204,India,2020-09-12,2024-09-14,0,active,62.66,7,35,Smartwatch,Electronics,4.2
ORD5005,CUST1005,46,Male,PROD205,Pakistan,2023-05-16,2025-08-13,2,active,221.61,8,16,Hoodie,Clothing,3.9
ORD5006,CUST1006,29,Female,PROD206,Germany,2023-10-04,2025-07-15,1,active,175.74,4,7,Tablet,Electronics,4.1
ORD5007,CUST1007,24,Female,PROD207,UK,2022-11-07,2024-12-31,2,active,9.56,5,34,Jacket,Clothing,4.3
ORD5008,CUST1008,53,Female,PROD208,Pakistan,2021-04-25,2024-12-26,4,paused,1525.8,1,32,Nail Polish,Beauty,4.2
ORD5009,CUST1009,38,Male,PROD209,Germany,2021-09-12,2024-11-29,2,active,337.24,4,6,Camera,Electronics,4.0
ORD5010,CUST1010,41,Female,PROD210,UK,2020-04-10,2022-02-08,2,active,203.05,6,38,Dumbbells,Sports,4.3
ORD5011,CUST1011,24,Female,PROD211,Canada,2022-12-02,2025-12-03,1,active,940.17,1,24,Headphones,Electronics,4.2
ORD5012,CUST1012,39,Female,PROD212,Canada,2020-12-20,2023-01-16,2,active,168.79,9,36,Vacuum Cleaner,Home,4.4
ORD5013,CUST1013,61,Female,PROD213,USA,2021-02-19,2024-09-12,3,active,236.77,8,5,Perfume,Beauty,4.2
ORD5014,CUST1014,64,Female,PROD214,UK,2021-02-27,2025-04-24,1,active,130.32,6,20,Cycling Helmet,Sports,4.1
ORD5015,CUST1015,28,Female,PROD215,UK,2021-12-31,2023-11-15,5,cancelled,333.99,3,27,Face Wash,Beauty,4.4
ORD5016,CUST1016,34,Female,PROD216,USA,2021-06-07,2025-02-08,1,active,1875.08,1,31,Football,Sports,4.2
ORD5017,CUST1017,22,Male,PROD217,Pakistan,2021-09-14,2024-04-08,0,cancelled,211.24,6,18,Cricket Bat,Sports,4.0
ORD5018,CUST1018,42,Male,PROD218,USA,2023-05-25,2025-09-01,5,paused,1702.39,1,14,Sneakers,Clothing,4.1
ORD5019,CUST1019,51,Female,PROD219,India,2022-09-14,2025-08-13,0,paused,199.58,8,41,Refrigerator,Home,4.3
ORD5020,CUST1020,64,Female,PROD220,Canada,2022-03-13,2024-01-23,4,active,242.03,6,2,Cricket Bat,Sports,4.5
ORD5021,CUST1021,52,Male,PROD221,Germany,2021-02-02,2022-06-20,1,paused,50.78,7,9,Dress,Clothing,3.7
ORD5022,CUST1022,28,Female,PROD222,Germany,2022-09-06,2022-05-08,2,active,89.87,6,39,Smartphone,Electronics,4.3
ORD5023,CUST1023,25,Male,PROD223,Germany,2021-04-05,2025-11-06,5,active,52.34,8,16,Camera,Electronics,4.0
ORD5024,CUST1024,45,Male,PROD224,Germany,2022-04-14,2023-01-29,2,active,232.67,3,20,Lipstick,Beauty,4.3
ORD5025,CUST1025,49,Male,PROD225,India,2021-07-11,2022-09-06,3,cancelled,142.89,5,40,Sneakers,Clothing,4.2
ORD5026,CUST1026,27,Male,PROD226,Germany,2023-05-15,2025-05-05,0,paused,44.69,7,28,T-Shirt,Clothing,4.2
ORD5027,CUST1027,69,Male,PROD227,Pakistan,2021-03-23,2022-02-25,4,cancelled,139.3,7,42,Tennis Racket,Sports,4.0
ORD5028,CUST1028,66,Male,PROD228,India,2021-02-06,2025-03-04,1,active,149.65,8,45,Sofa,Home,4.4
ORD5029,CUST1029,43,Female,PROD229,Canada,2020-08-22,2024-03-22,3,cancelled,157.1,6,14,Laptop,Electronics,4.3
ORD5030,CUST1030,18,Male,PROD230,Germany,2021-04-19,2021-01-06,5,active,182.53,9,24,Basketball,Sports,4.5
ORD5031,CUST1031,37,Male,PROD231,Canada,2021-08-19,2023-07-22,4,paused,31.95,1,9,Dress,Clothing,4.0
ORD5032,CUST1032,52,Female,PROD232,Germany,2021-09-02,2021-07-27,0,cancelled,804.77,2,26,Cycling Helmet,Sports,4.3
ORD5033,CUST1033,50,Male,PROD233,Canada,2022-03-25,2022-09-25,5,active,332.38,5,29,Shirt,Clothing,4.3
ORD5034,CUST1034,49,Female,PROD234,UK,2021-02-26,2025-04-22,5,active,1292.65,1,12,Cricket Bat,Sports,3.9
ORD5035,CUST1035,48,Female,PROD235,India,2021-11-07,2023-11-23,3,active,36.39,7,24,Tablet,Electronics,3.9
ORD5036,CUST1036,42,Male,PROD236,UK,2023-03-08,2024-01-14,0,paused,79.19,7,13,Camera,Electronics,4.4
ORD5037,CUST1037,66,Male,PROD237,India,2023-03-25,2023-05-16,3,active,94.06,4,48,Blender,Home,4.0
ORD5038,CUST1038,25,Female,PROD238,Pakistan,2022-02-17,2023-06-29,3,paused,786.48,2,11,Basketball,Sports,4.2
ORD5039,CUST1039,40,Female,PROD239,India,2022-04-12,2024-12-13,5,active,20.55,6,47,Sneakers,Clothing,4.2
ORD5040,CUST1040,31,Male,PROD240,USA,2023-08-05,2025-06-08,3,active,203.23,5,45,Sneakers,Clothing,4.5
ORD5041,CUST1041,55,Female,PROD241,Pakistan,2022-07-19,2025-03-28,5,active,65.07,7,5,Dumbbells,Sports,4.3
ORD5042,CUST1042,57,Other,PROD242,Germany,2023-05-23,2025-03-15,4,paused,1954.64,1,36,Cricket Bat,Sports,4.2
ORD5043,CUST1043,55,Female,PROD243,UK,2023-04-22,2024-05-28,4,active,18.98,7,45,Smartphone,Electronics,4.3
ORD5044,CUST1044,47,Male,PROD244,Germany,2022-11-03,2023-11-12,5,cancelled,654.56,3,48,Football,Sports,4.0
ORD5045,CUST1045,29,Male,PROD245,Pakistan,2020-11-30,2022-05-22,0,active,334.17,5,6,Headphones,Electronics,3.3
ORD5046,CUST1046,19,Female,PROD246,Pakistan,2023-03-21,2025-01-14,0,active,219.75,5,37,Jacket,Clothing,4.1
ORD5047,CUST1047,38,Male,PROD247,Canada,2021-07-13,2022-09-07,1,active,223.05,7,23,Lamp,Home,4.4
ORD5048,CUST1048,48,Male,PROD248,Pakistan,2023-10-04,2025-04-18,5,paused,149.88,4,35,Headphones,Electronics,3.6
ORD5049,CUST1049,58,Male,PROD249,Germany,2022-06-17,2025-04-01,4,active,165.27,9,30,Bluetooth Speaker,Electronics,4.2
ORD5050,CUST1050,27,Female,PROD250,Pakistan,2020-08-29,2024-08-15,0,paused,222.62,8,37,Gaming Console,Electronics,4.4
ORD5051,CUST1051,54,Male,PROD251,Canada,2022-05-12,2023-07-13,2,active,45.17,2,14,Bluetooth Speaker,Electronics,4.2
ORD5052,CUST1052,67,Female,PROD252,USA,2020-09-09,2025-05-28,3,active,136.95,8,4,Basketball,Sports,4.3
ORD5053,CUST1053,51,Female,PROD253,Canada,2020-05-10,2021-08-16,4,cancelled,323.04,3,8,Nail Polish,Beauty,4.2
ORD5054,CUST1054,59,Male,PROD254,UK,2023-03-05,2024-04-26,0,cancelled,104.0,3,1,Smartphone,Electronics,4.1
ORD5055,CUST1055,42,Female,PROD255,USA,2022-09-04,2022-04-08,4,cancelled,251.6,3,23,Lamp,Home,3.7
ORD5056,CUST1056,38,Male,PROD256,USA,2023-08-15,2023-12-28,0,active,472.04,2,17,Shirt,Clothing,4.2
ORD5057,CUST1057,23,Female,PROD257,Germany,2023-02-27,2025-11-02,5,active,21.85,8,1,Tennis Racket,Sports,4.2
ORD5058,CUST1058,18,Male,PROD258,USA,2021-04-22,2023-05-18,3,active,295.22,5,18,Jeans,Clothing,4.2
ORD5059,CUST1059,41,Female,PROD259,Canada,2020-08-30,2023-02-09,0,paused,362.26,5,13,Running Shoes,Sports,4.3
ORD5060,CUST1060,35,Female,PROD260,Canada,2021-08-16,2021-09-21,1,cancelled,286.73,6,42,Cycling Helmet,Sports,3.7
ORD5061,CUST1061,39,Female,PROD261,Canada,2021-12-29,2024-10-01,3,active,34.68,9,2,Smartphone,Electronics,4.3
ORD5062,CUST1062,33,Female,PROD262,UK,2021-09-09,2024-02-02,4,paused,370.97,4,13,Sneakers,Clothing,4.0
ORD5063,CUST1063,34,Female,PROD263,Canada,2020-11-26,2022-10-03,4,active,841.95,2,9,Camera,Electronics,4.2
ORD5064,CUST1064,22,Female,PROD264,Germany,2022-08-07,2023-03-02,4,cancelled,1795.65,1,16,Sofa,Home,4.2
ORD5065,CUST1065,56,Male,PROD265,Pakistan,2020-11-16,2025-12-06,1,paused,459.56,3,7,Smartwatch,Electronics,4.4
ORD5066,CUST1066,54,Female,PROD266,Pakistan,2023-07-13,2024-10-04,3,cancelled,193.86,5,9,Hoodie,Clothing,4.1
ORD5067,CUST1067,66,Female,PROD267,UK,2021-09-24,2024-10-30,4,active,180.63,3,39,Cycling Helmet,Sports,4.3
ORD5068,CUST1068,45,Other,PROD268,Canada,2023-05-27,2024-11-09,5,active,1217.67,1,40,Lipstick,Beauty,4.2
ORD5069,CUST1069,19,Male,PROD269,Canada,2022-01-25,2025-06-29,4,active,262.1,6,33,Smartwatch,Electronics,4.3
ORD5070,CUST1070,33,Female,PROD270,India,2023-07-29,2024-12-18,3,active,466.13,3,25,Jeans,Clothing,4.5
ORD5071,CUST1071,62,Female,PROD271,India,2021-09-10,2024-01-03,2,active,365.16,3,13,Laptop,Electronics,4.1
ORD5072,CUST1072,34,Male,PROD272,Canada,2020-12-14,2021-01-04,3,active,24.08,5,28,Bluetooth Speaker,Electronics,4.2
ORD5073,CUST1073,57,Male,PROD273,Pakistan,2021-01-11,2022-10-20,0,cancelled,167.47,5,13,Sofa,Home,4.0
ORD5074,CUST1074,21,Female,PROD274,India,2021-08-19,2025-05-21,2,active,44.36,6,27,Bluetooth Speaker,Electronics,4.1
ORD5075,CUST1075,43,Female,PROD275,USA,2022-08-20,2024-02-20,1,cancelled,157.7,5,32,Dumbbells,Sports,4.1
ORD5076,CUST1076,63,Male,PROD276,USA,2021-03-05,2022-06-08,5,cancelled,244.5,6,19,Blender,Home,4.0
ORD5077,CUST1077,35,Female,PROD277,UK,2021-07-17,2024-08-12,2,cancelled,1519.11,1,47,Tablet,Electronics,4.1
ORD5078,CUST1078,55,Female,PROD278,UK,2021-11-04,2023-12-29,2,cancelled,160.26,8,44,Face Wash,Beauty,3.9
ORD5079,CUST1079,54,Male,PROD279,Germany,2020-05-10,2025-05-21,5,active,154.0,7,21,Foundation,Beauty,4.0
ORD5080,CUST1080,53,Male,PROD280,Germany,2021-02-11,2023-10-10,0,active,119.16,7,4,Perfume,Beauty,4.2
ORD5081,CUST1081,20,Male,PROD281,USA,2023-01-07,2023-12-18,5,active,68.21,5,8,Refrigerator,Home,4.0
ORD5082,CUST1082,18,Male,PROD282,UK,2021-09-23,2022-02-20,0,active,112.63,7,20,Headphones,Electronics,3.4
ORD5083,CUST1083,44,Female,PROD283,UK,2021-03-10,2023-08-11,0,active,269.36,6,16,Basketball,Sports,4.4
ORD5084,CUST1084,20,Male,PROD284,Pakistan,2021-02-12,2025-04-26,0,active,1032.49,1,1,Dress,Clothing,4.2
ORD5085,CUST1085,51,Female,PROD285,Germany,2021-04-04,2023-11-27,0,active,253.07,2,7,Tablet,Electronics,4.2
ORD5086,CUST1086,55,Female,PROD286,Germany,2021-01-15,2024-06-21,1,active,189.41,8,3,Laptop,Electronics,4.3
ORD5087,CUST1087,52,Female,PROD287,Pakistan,2022-05-04,2023-06-20,1,cancelled,1495.51,1,45,Refrigerator,Home,4.3
ORD5088,CUST1088,31,Female,PROD288,Germany,2021-10-16,2022-08-11,4,cancelled,384.7,2,38,Gaming Console,Electronics,4.5
ORD5089,CUST1089,46,Male,PROD289,India,2021-08-28,2023-07-09,5,active,256.4,6,29,Sofa,Home,4.2
ORD5090,CUST1090,61,Female,PROD290,Pakistan,2023-07-07,2023-08-08,0,active,289.7,4,14,Chair,Home,3.6
ORD5091,CUST1091,30,Female,PROD291,Canada,2021-02-27,2023-06-26,2,active,27.0,5,8,Dining Table,Home,4.2
ORD5092,CUST1092,56,Female,PROD292,Canada,2021-09-13,2022-05-22,2,active,279.83,3,28,Moisturizer,Beauty,4.2
ORD5093,CUST1093,24,Male,PROD293,Canada,2023-05-29,2024-06-28,0,paused,290.29,5,30,Headphones,Electronics,4.1
ORD5094,CUST1094,68,Female,PROD294,Pakistan,2022-07-14,2024-12-25,2,active,259.26,6,38,Yoga Mat,Sports,4.2
ORD5095,CUST1095,52,Male,PROD295,Canada,2022-10-20,2024-11-11,5,cancelled,159.25,5,40,Gaming Console,Electronics,3.7
ORD5096,CUST1096,43,Female,PROD296,USA,2021-02-15,2021-10-19,0,active,62.41,3,30,Tennis Racket,Sports,3.8
ORD5097,CUST1097,35,Male,PROD297,Pakistan,2021-03-31,2022-11-21,4,active,107.73,5,26,Smartwatch,Electronics,3.7
ORD5098,CUST1098,66,Male,PROD298,Germany,2021-09-15,2022-07-08,5,paused,556.57,2,40,T-Shirt,Clothing,4.5
ORD5099,CUST1099,32,Female,PROD299,UK,2021-09-18,2022-04-15,2,active,990.57,1,5,Headphones,Electronics,4.1
ORD5100,CUST1100,57,Female,PROD300,UK,2020-11-28,2024-01-20,2,cancelled,140.71,6,26,Nail Polish,Beauty,4.3
ORD5101,CUST1101,49,Male,PROD301,USA,2022-04-15,2024-09-20,2,active,38.59,9,48,Yoga Mat,Sports,4.3
ORD5102,CUST1102,62,Female,PROD302,USA,2023-08-14,2024-08-07,1,active,196.79,8,35,Moisturizer,Beauty,4.0
ORD5103,CUST1103,36,Female,PROD303,Germany,2023-06-18,2025-06-04,4,active,84.34,5,41,Basketball,Sports,4.2
ORD5104,CUST1104,51,Male,PROD304,USA,2022-07-27,2023-10-17,2,paused,760.96,1,13,Foundation,Beauty,4.2
ORD5105,CUST1105,54,Female,PROD305,India,2022-01-10,2024-10-11,4,active,716.3,2,24,Smartphone,Electronics,4.3
ORD5106,CUST1106,27,Female,PROD306,UK,2022-09-15,2025-02-21,0,cancelled,396.36,5,34,Chair,Home,4.2
ORD5107,CUST1107,42,Female,PROD307,Germany,2020-10-16,2022-08-03,0,active,805.84,2,39,Cycling Helmet,Sports,4.3
ORD5108,CUST1108,51,Other,PROD308,India,2022-04-07,2024-11-11,3,cancelled,107.67,4,26,Vacuum Cleaner,Home,4.3
ORD5109,CUST1109,39,Male,PROD309,India,2022-06-11,2024-05-04,1,cancelled,233.34,6,44,Perfume,Beauty,3.9
ORD5110,CUST1110,23,Female,PROD310,Canada,2022-10-29,2023-08-21,1,active,353.8,3,11,Perfume,Beauty,4.1
ORD5111,CUST1111,59,Female,PROD311,India,2023-01-27,2023-12-26,0,paused,221.28,8,41,Jeans,Clothing,4.3
ORD5112,CUST1112,29,Female,PROD312,Canada,2021-02-13,2023-05-10,4,paused,247.78,8,28,Lipstick,Beauty,4.3
ORD5113,CUST1113,50,Male,PROD313,India,2023-11-08,2025-07-03,0,cancelled,1810.76,1,13,Yoga Mat,Sports,4.1
ORD5114,CUST1114,31,Female,PROD314,Pakistan,2021-12-16,2023-05-27,3,active,164.62,6,15,Sofa,Home,4.5
ORD5115,CUST1115,65,Female,PROD315,Canada,2022-07-26,2022-01-10,3,active,57.48,5,42,Tablet,Electronics,4.1
ORD5116,CUST1116,28,Female,PROD316,Canada,2022-11-29,2024-09-28,0,active,431.26,3,3,Vacuum Cleaner,Home,3.6
ORD5117,CUST1117,31,Male,PROD317,Germany,2020-12-30,2021-09-06,0,cancelled,205.69,8,7,Dress,Clothing,3.5
ORD5118,CUST1118,45,Male,PROD318,Canada,2022-01-03,2024-09-17,1,active,338.72,1,22,Hoodie,Clothing,4.0
ORD5119,CUST1119,19,Female,PROD319,USA,2021-12-09,2024-06-28,1,active,174.49,9,25,Lipstick,Beauty,3.8
ORD5120,CUST1120,64,Male,PROD320,Pakistan,2020-11-16,2022-06-08,5,cancelled,102.01,6,1,Tablet,Electronics,4.4
ORD5121,CUST1121,23,Male,PROD321,UK,2022-10-30,2024-04-27,5,active,389.99,5,3,Shirt,Clothing,3.7
ORD5122,CUST1122,22,Male,PROD322,UK,2022-03-12,2024-12-19,2,cancelled,21.57,6,49,Face Wash,Beauty,4.3
ORD5123,CUST1123,68,Male,PROD323,USA,2023-04-25,2024-09-24,1,cancelled,649.18,2,38,Gaming Console,Electronics,4.1
ORD5124,CUST1124,61,Female,PROD324,Canada,2023-02-19,2025-04-23,3,cancelled,964.88,2,5,Running Shoes,Sports,4.2
ORD5125,CUST1125,52,Male,PROD325,UK,2023-05-20,2024-08-02,0,active,201.06,8,28,Lamp,Home,4.1
ORD5126,CUST1126,35,Female,PROD326,UK,2021-09-06,2024-10-18,1,active,178.81,1,41,Smartwatch,Electronics,4.3
ORD5127,CUST1127,45,Female,PROD327,Germany,2022-07-25,2023-02-27,2,cancelled,167.69,5,49,Headphones,Electronics,4.2
