customer_id,age,gender,country,subscription_status,total_orders,total_quantity,total_revenue,average_order_value,average_unit_price,average_rating,total_cancellations,average_purchase_frequency,max_purchase_frequency,min_purchase_frequency,first_purchase_date,last_purchase_date,signup_date,recency_days,tenure_days,orders_per_month,average_quantity_per_order,product_diversity,category_diversity,product_name_diversity,cancellation_rate,revenue_per_order,revenue_per_unit,purchase_activity_ratio,customer_value,revenue_per_month,quantity_per_month,cancellation_per_order,rating_adjusted_value,frequency_consistency,purchase_intensity,revenue_intensity,quantity_intensity,customer_value_per_month,tenure_years,orders_per_tenure_year,revenue_per_order_month,revenue_x_frequency,orders_x_purchase_activity,value_x_purchase_activity,cancellation_x_frequency,diversity_ratio,recency_band,value_band,frequency_band
CUST1000,39,Female,Canada,active,1,5,391.04999999999995,391.04999999999995,78.21,4.2,0,37.0,37,37,2023-02-21,2023-02-21,2021-07-01,1021,600,0.047619047619047616,5.0,1,1,1,0.0,391.04999999999995,78.21,0.0016638935108153079,719.5319999999999,19.5525,0.25,0.0,964.17288,1.0,0.6083333333333334,237.88875,3.041666666666667,35.9766,1.643835616438356,0.6083333333333334,19.5525,14859.899999999998,0.0016638935108153079,1.19722462562396,0.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1001,61,Female,USA,active,1,8,512.16,512.16,64.02,4.0,0,35.0,35,35,2021-08-12,2021-08-12,2020-10-19,1579,297,0.09174311926605504,8.0,1,1,1,0.0,512.16,64.02,0.003355704697986577,921.8879999999999,51.73333333333333,0.8080808080808081,0.0,1198.4543999999999,1.0,1.228956228956229,629.4222222222222,9.831649831649832,93.11999999999999,0.8136986301369863,1.228956228956229,51.73333333333333,18437.76,0.003355704697986577,3.0935838926174495,0.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1002,26,Female,Pakistan,cancelled,1,2,1208.28,1208.28,604.14,3.9,3,44.0,44,44,2023-04-09,2023-04-09,2023-10-06,974,0,1.0,2.0,1,1,1,3.0,1208.28,604.14,1.0,2150.7384,12082.8,20.0,3.0,2752.9451520000002,1.0,365.0,441022.2,730.0,21507.384000000002,0.0,365.0,12082.8,54372.6,1.0,2150.7384,135.0,2.0,Long Inactive,High Value,Low Frequency
CUST1003,54,Male,India,paused,1,4,338.64,338.64,84.66,4.2,4,1.0,1,1,2024-02-20,2024-02-20,2023-07-30,657,205,0.12765957446808512,4.0,1,1,1,4.0,338.64,84.66,0.0048543689320388345,623.0976,49.557073170731705,0.5853658536585367,4.0,834.9507840000001,1.0,1.7804878048780488,602.9443902439024,7.121951219512195,91.18501463414636,0.5616438356164384,1.7804878048780488,49.557073170731705,677.28,0.0048543689320388345,3.0247456310679612,8.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1004,50,Male,India,active,1,7,438.62,438.62,62.66,4.2,0,35.0,35,35,2024-09-14,2024-09-14,2020-09-12,450,1463,0.020093770931011386,7.0,1,1,1,0.0,438.62,62.660000000000004,0.0006830601092896175,807.0608000000001,8.994258373205742,0.14354066985645933,0.0,1081.4614720000002,1.0,0.24948735475051262,109.43014354066985,1.7464114832535884,16.549435406698567,4.008219178082192,0.24948735475051262,8.994258373205742,15790.32,0.0006830601092896175,0.5512710382513661,0.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1005,46,Male,Pakistan,active,1,8,1772.88,1772.88,221.61,3.9,2,16.0,16,16,2025-08-13,2025-08-13,2023-05-16,117,820,0.03529411764705882,8.0,1,1,1,2.0,1772.88,221.61,0.001218026796589525,3155.7264000000005,64.86146341463416,0.29268292682926833,2.0,4039.329792000001,1.0,0.4451219512195122,789.1478048780488,3.5609756097560976,115.4534048780488,2.2465753424657535,0.4451219512195122,64.86146341463416,30138.960000000003,0.001218026796589525,3.8437593179049943,34.0,2.0,At Risk,Very High Value,Low Frequency
CUST1006,29,Female,Germany,active,1,4,702.96,702.96,175.74,4.1,1,7.0,7,7,2025-07-15,2025-07-15,2023-10-04,146,650,0.044117647058823525,4.0,1,1,1,1.0,702.96,175.74,0.0015360983102918587,1279.3872,32.44430769230769,0.1846153846153846,1.0,1688.7911039999997,1.0,0.5615384615384615,394.73907692307694,2.246153846153846,59.04863999999999,1.7808219178082192,0.5615384615384615,32.44430769230769,5623.68,0.0015360983102918587,1.965264516129032,8.0,2.0,At Risk,Medium Value,Low Frequency
CUST1007,24,Female,UK,active,1,5,47.800000000000004,47.800000000000004,9.56,4.3,2,34.0,34,34,2024-12-31,2024-12-31,2022-11-07,342,785,0.03680981595092024,5.0,1,1,1,2.0,47.800000000000004,9.56,0.001272264631043257,88.908,1.826751592356688,0.19108280254777069,2.0,120.91488,1.0,0.464968152866242,22.22547770700637,2.32484076433121,3.3977579617834395,2.1506849315068495,0.464968152866242,1.826751592356688,1673.0000000000002,0.001272264631043257,0.1131145038167939,70.0,2.0,Long Inactive,Low Value,Low Frequency
CUST1008,53,Female,Pakistan,paused,1,1,1525.8,1525.8,1525.8,4.2,4,32.0,32,32,2024-12-26,2024-12-26,2021-04-25,347,1341,0.02188183807439825,1.0,1,1,1,4.0,1525.8,1525.8,0.0007451564828614009,2807.472,34.13422818791946,0.022371364653243846,4.0,3762.0124800000003,1.0,0.2721849366144668,415.29977628635345,0.2721849366144668,62.806979865771815,3.673972602739726,0.2721849366144668,34.13422818791946,50351.4,0.0007451564828614009,2.092005961251863,132.0,2.0,Long Inactive,Very High Value,Low Frequency
CUST1009,38,Male,Germany,active,1,4,1348.96,1348.96,337.24,4.0,2,6.0,6,6,2024-11-29,2024-11-29,2021-09-12,374,1174,0.024916943521594685,4.0,1,1,1,2.0,1348.96,337.24,0.000851063829787234,2428.128,34.470868824531514,0.10221465076660988,2.0,3156.5664,1.0,0.31090289608177174,419.3955706984668,1.243611584327087,62.04756388415674,3.2164383561643834,0.31090289608177174,34.470868824531514,9442.720000000001,0.000851063829787234,2.066491914893617,14.0,2.0,Long Inactive,High Value,Low Frequency
CUST1010,41,Female,UK,active,1,6,1218.3000000000002,1218.3000000000002,203.05,4.3,2,38.0,38,38,2022-02-08,2022-02-08,2020-04-10,1399,669,0.04291845493562232,6.0,1,1,1,2.0,1218.3000000000002,203.05000000000004,0.0014925373134328358,2266.038,54.6322869955157,0.26905829596412556,2.0,3081.81168,1.0,0.5455904334828102,664.6928251121078,3.273542600896861,101.61605381165919,1.832876712328767,0.5455904334828102,54.6322869955157,47513.700000000004,0.0014925373134328358,3.3821462686567165,78.0,2.0,Long Inactive,High Value,Low Frequency
CUST1011,24,Female,Canada,active,1,1,940.17,940.17,940.17,4.2,1,24.0,24,24,2025-12-03,2025-12-03,2022-12-02,5,1097,0.02661934338952972,1.0,1,1,1,1.0,940.17,940.17,0.0009107468123861566,1729.9128,25.711121239744756,0.027347310847766634,1.0,2318.083152,1.0,0.33272561531449407,312.81864175022787,0.33272561531449407,47.308463081130355,3.0054794520547947,0.33272561531449407,25.711121239744756,23504.25,0.0009107468123861566,1.575512568306011,25.0,2.0,Very Recent,Medium Value,Low Frequency
CUST1012,39,Female,Canada,active,1,9,1519.11,1519.11,168.79,4.4,2,36.0,36,36,2023-01-16,2023-01-16,2020-12-20,1057,757,0.03811944091486658,9.0,1,1,1,2.0,1519.11,168.79,0.0013192612137203166,2855.9268,60.202509907529716,0.35667107001321,2.0,3941.1789840000006,1.0,0.4821664464993395,732.4638705416115,4.339498018494055,113.18071862615588,2.073972602739726,0.4821664464993395,60.202509907529716,56207.07,0.0013192612137203166,3.76771345646438,74.0,2.0,Long Inactive,Very High Value,Low Frequency
CUST1013,61,Female,USA,active,1,8,1894.16,1894.16,236.77,4.2,3,5.0,5,5,2024-09-12,2024-09-12,2021-02-19,452,1301,0.022539444027047332,8.0,1,1,1,3.0,1894.16,236.77,0.0007680491551459293,3485.2544000000003,43.67778631821676,0.18447348193697155,3.0,4670.240896,1.0,0.2805534204458109,531.4130668716372,2.244427363566487,80.36712682551884,3.5643835616438357,0.2805534204458109,43.67778631821676,11364.960000000001,0.0007680491551459293,2.676846697388633,18.0,2.0,Long Inactive,Very High Value,Low Frequency
CUST1014,64,Female,UK,active,1,6,781.92,781.92,130.32,4.1,1,20.0,20,20,2025-04-24,2025-04-24,2021-02-27,228,1517,0.0193923723335488,6.0,1,1,1,1.0,781.92,130.32,0.0006587615283267457,1423.0943999999997,15.46315095583388,0.11865524060646011,1.0,1878.4846079999993,1.0,0.24060646011865522,188.1350032959789,1.4436387607119314,28.142934739617658,4.156164383561644,0.24060646011865522,15.46315095583388,16420.32,0.0006587615283267457,0.9374798418972331,21.0,2.0,Long Inactive,Medium Value,Low Frequency
CUST1015,28,Female,UK,cancelled,1,3,1001.97,1001.97,333.99,4.4,5,27.0,27,27,2023-11-15,2023-11-15,2021-12-31,754,684,0.04201680672268907,3.0,1,1,1,5.0,1001.97,333.99,0.00145985401459854,1883.7036000000003,43.946052631578944,0.13157894736842105,5.0,2599.5109680000005,1.0,0.533625730994152,534.6769736842106,1.6008771929824561,82.61857894736843,1.873972602739726,0.533625730994152,43.946052631578944,28055.16,0.00145985401459854,2.749932262773723,140.0,2.0,Long Inactive,Medium Value,Low Frequency
CUST1016,34,Female,USA,active,1,1,1875.08,1875.08,1875.08,4.2,1,31.0,31,31,2025-02-08,2025-02-08,2021-06-07,303,1342,0.021865889212827987,1.0,1,1,1,1.0,1875.08,1875.08,0.0007446016381236039,3450.1472,41.916840536512666,0.022354694485842028,1.0,4623.197248,1.0,0.2719821162444113,509.98822652757076,0.2719821162444113,77.12698658718331,3.6767123287671235,0.2719821162444113,41.916840536512666,60002.56,0.0007446016381236039,2.568985256887565,32.0,2.0,Long Inactive,Very High Value,Low Frequency
CUST1017,22,Male,Pakistan,cancelled,1,6,1267.44,1267.44,211.24,4.0,0,18.0,18,18,2024-04-08,2024-04-08,2021-09-14,609,937,0.031023784901758014,6.0,1,1,1,0.0,1267.44,211.24,0.0010660980810234541,2281.3920000000003,40.579722518676625,0.192102454642476,0.0,2965.8096000000005,1.0,0.38954108858057634,493.7199573105657,2.337246531483458,73.04350053361793,2.5671232876712327,0.38954108858057634,40.579722518676625,24081.36,0.0010660980810234541,2.4321876332622603,0.0,2.0,Long Inactive,High Value,Low Frequency
CUST1018,42,Male,USA,paused,1,1,1702.39,1702.39,1702.39,4.1,5,14.0,14,14,2025-09-01,2025-09-01,2023-05-25,98,830,0.03488372093023256,1.0,1,1,1,5.0,1702.39,1702.39,0.0012033694344163659,3098.3498,61.532168674698795,0.03614457831325301,5.0,4089.8217359999994,1.0,0.4397590361445783,748.6413855421687,0.4397590361445783,111.9885469879518,2.2739726027397262,0.4397590361445783,61.532168674698795,25535.850000000002,0.0012033694344163659,3.7284594464500604,75.0,2.0,At Risk,Very High Value,Low Frequency
CUST1019,51,Female,India,paused,1,8,1596.64,1596.64,199.58,4.3,0,41.0,41,41,2025-08-13,2025-08-13,2022-09-14,117,1064,0.027422303473491772,8.0,1,1,1,0.0,1596.64,199.58,0.0009389671361502347,2969.7504,45.018045112781955,0.22556390977443608,0.0,4038.8605439999997,1.0,0.3430451127819549,547.7195488721804,2.744360902255639,83.73356390977443,2.915068493150685,0.3430451127819549,45.018045112781955,67058.88,0.0009389671361502347,2.788498028169014,0.0,2.0,At Risk,Very High Value,Low Frequency
CUST1020,64,Female,Canada,active,1,6,1452.18,1452.18,242.03,4.5,4,2.0,2,2,2024-01-23,2024-01-23,2022-03-13,685,681,0.04219409282700422,6.0,1,1,1,4.0,1452.18,242.03,0.001466275659824047,2759.142,63.972687224669606,0.2643171806167401,4.0,3862.7987999999996,1.0,0.5359765051395007,778.3343612334802,3.2158590308370045,121.54810572687224,1.8657534246575342,0.5359765051395007,63.972687224669606,4356.54,0.001466275659824047,4.04566275659824,12.0,2.0,Long Inactive,High Value,Low Frequency
