customer_id,cluster_id,days_since_purchase,purchase_frequency,Ratings
CUST1000,2,1021,37,4.2
CUST1001,2,1579,35,4.0
CUST1004,0,450,35,4.2
CUST1005,1,117,16,3.9
CUST1006,1,146,7,4.1
CUST1007,0,342,34,4.3
CUST1009,1,374,6,4.0
CUST1010,2,1399,38,4.3
CUST1011,1,5,24,4.2
CUST1012,2,1057,36,4.4
CUST1013,1,452,5,4.2
CUST1014,1,228,20,4.1
CUST1016,0,303,31,4.2
CUST1020,1,685,2,4.5
CUST1023,1,32,16,4.0
CUST1024,2,1044,20,4.3
CUST1028,0,279,45,4.4
CUST1033,2,1170,29,4.3
CUST1034,1,230,12,3.9
CUST1035,1,746,24,3.9
CUST1037,0,937,48,4.0
CUST1039,0,360,47,4.2
CUST1040,0,183,45,4.5
CUST1041,1,255,5,4.3
CUST1043,0,559,45,4.3
CUST1045,2,1296,6,3.3
CUST1046,0,328,37,4.1
CUST1047,2,1188,23,4.4
CUST1049,0,251,30,4.2
CUST1051,1,879,14,4.2
CUST1052,1,194,4,4.3
CUST1056,1,711,17,4.2
CUST1057,1,36,1,4.2
CUST1058,2,935,18,4.2
CUST1061,1,433,2,4.3
CUST1063,2,1162,9,4.2
CUST1067,0,404,39,4.3
CUST1068,0,394,40,4.2
CUST1069,0,162,33,4.3
CUST1070,0,355,25,4.5
CUST1071,1,705,13,4.1
CUST1072,2,1799,28,4.2
CUST1074,0,201,27,4.1
CUST1079,1,201,21,4.0
CUST1080,1,790,4,4.2
CUST1081,1,721,8,4.0
CUST1082,2,1387,20,3.4
CUST1083,1,850,16,4.4
CUST1084,1,226,1,4.2
CUST1085,1,742,7,4.2
CUST1086,1,535,3,4.3
CUST1089,2,883,29,4.2
CUST1090,1,853,14,3.6
CUST1091,1,896,8,4.2
CUST1092,2,1296,28,4.2
CUST1094,0,348,38,4.2
CUST1096,2,1511,30,3.8
CUST1097,2,1113,26,3.7
CUST1099,2,1333,5,4.1
CUST1101,0,444,48,4.3
CUST1102,0,488,35,4.0
CUST1103,0,187,41,4.2
CUST1105,1,423,24,4.3
CUST1107,2,1223,39,4.3
CUST1110,1,840,11,4.1
CUST1114,2,926,15,4.5
CUST1116,1,436,3,3.6
CUST1118,1,447,22,4.0
CUST1119,1,528,25,3.8
CUST1121,1,590,3,3.7
CUST1125,0,493,28,4.1
CUST1126,0,416,41,4.3
CUST1128,0,1094,43,4.2
CUST1129,0,433,34,4.4
CUST1132,1,733,3,4.0
CUST1133,2,1337,34,3.9
CUST1134,0,385,43,4.2
CUST1137,1,396,11,4.6
CUST1138,1,825,16,3.9
CUST1139,1,873,12,4.3
CUST1140,1,652,3,4.1
CUST1143,0,226,30,4.2
CUST1144,1,530,18,4.2
CUST1146,0,770,24,4.5
CUST1147,0,283,28,4.2
CUST1148,1,501,17,4.2
CUST1151,2,1433,40,4.3
CUST1152,0,1055,41,4.3
CUST1153,1,488,18,4.3
CUST1156,1,365,1,4.4
CUST1158,2,1516,24,4.1
CUST1159,1,456,1,3.9
CUST1161,2,1213,24,4.3
CUST1165,1,426,9,3.9
CUST1168,0,982,36,4.3
CUST1169,0,1137,49,4.0
CUST1170,0,703,47,4.4
CUST1174,0,388,39,5.0
CUST1175,0,658,26,3.7
CUST1180,0,703,33,3.8
CUST1182,1,133,5,4.1
CUST1183,2,1151,23,4.4
CUST1184,0,158,33,4.3
CUST1185,1,294,9,4.3
