priority_rank,customer_id,customer_segment,retention_priority,churn_probability,churn_probability_percent,risk_score,risk_segment,risk_level,churn_prediction,reason,days_since_purchase,customer_value,total_orders,total_revenue,revenue_at_risk,priority_score,recommended_action,needs_immediate_attention,high_value_risk
1,CUST2820,CRITICAL_RETENTION,URGENT,0.8396211294460352,83.96,83.96,CRITICAL,CRITICAL,1,Long time since last purchase,1499,3518.3124,1,1976.58,1659.58,88.65464436149014,Immediate high-value retention intervention,True,True
2,CUST2934,CRITICAL_RETENTION,URGENT,0.8353058162384183,83.53,83.53,CRITICAL,CRITICAL,1,Long time since last purchase,1387,3430.884,1,1994.7,1666.18,88.47140713668928,Immediate high-value retention intervention,True,True
3,CUST2528,CRITICAL_RETENTION,URGENT,0.8401851876540344,84.02,84.02,CRITICAL,CRITICAL,1,Long time since last purchase,1061,3269.46,1,1879.0,1578.71,87.23804325917844,Immediate high-value retention intervention,True,True
4,CUST2268,CRITICAL_RETENTION,URGENT,0.8167427571101753,81.67,81.67,CRITICAL,CRITICAL,1,Long time since last purchase,1490,3658.8032,1,1988.48,1624.08,86.41397165548034,Immediate high-value retention intervention,True,True
5,CUST2202,CRITICAL_RETENTION,URGENT,0.8205415609233042,82.05,82.05,CRITICAL,CRITICAL,1,Long time since last purchase,1453,3597.4944000000005,1,1955.16,1604.29,86.32356387577775,Immediate high-value retention intervention,True,True
6,CUST1351,CRITICAL_RETENTION,URGENT,0.8414346905327107,84.14,84.14,CRITICAL,CRITICAL,1,Long time since last purchase,1390,3204.468,1,1780.2599999999998,1497.97,85.8717639672937,Immediate high-value retention intervention,True,True
7,CUST2812,CRITICAL_RETENTION,URGENT,0.8469236166224661,84.69,84.69,CRITICAL,CRITICAL,1,Long time since last purchase,1650,2765.2590000000005,1,1706.95,1445.66,85.31413377191026,Immediate high-value retention intervention,True,True
8,CUST1362,CRITICAL_RETENTION,URGENT,0.8347232717781491,83.47,83.47,CRITICAL,CRITICAL,1,Long time since last purchase,1506,3343.3920000000003,1,1778.4,1484.47,85.15889367774919,Immediate high-value retention intervention,True,True
9,CUST2371,CRITICAL_RETENTION,URGENT,0.8160650770310236,81.61,81.61,CRITICAL,CRITICAL,1,Long time since last purchase,1585,3491.952,1,1897.8,1548.73,85.00983789466238,Immediate high-value retention intervention,True,True
10,CUST1847,CRITICAL_RETENTION,URGENT,0.8046764521994412,80.47,80.47,CRITICAL,CRITICAL,1,Long time since last purchase,1490,3481.3152,1,1978.02,1591.67,84.98577991501311,Immediate high-value retention intervention,True,True
11,CUST2979,CRITICAL_RETENTION,URGENT,0.8168695123030928,81.69,81.69,CRITICAL,CRITICAL,1,Long time since last purchase,1976,3504.4632,1,1884.12,1539.08,84.89239762849255,Immediate high-value retention intervention,True,True
12,CUST1473,CRITICAL_RETENTION,URGENT,0.8272269728781045,82.72,82.72,CRITICAL,CRITICAL,1,Long time since last purchase,1036,3236.688,1,1778.4,1471.14,84.39414267180186,Immediate high-value retention intervention,True,True
13,CUST1387,CRITICAL_RETENTION,URGENT,0.8445689422406798,84.46,84.46,CRITICAL,CRITICAL,1,Long time since last purchase,1303,2955.1559999999995,1,1660.1999999999998,1402.15,84.36589780982865,Immediate high-value retention intervention,True,True
14,CUST2566,CRITICAL_RETENTION,URGENT,0.8323532038204066,83.24,83.24,CRITICAL,CRITICAL,1,Long time since last purchase,1114,3165.344,1,1739.1999999999998,1447.63,84.32967523311044,Immediate high-value retention intervention,True,True
15,CUST2997,CRITICAL_RETENTION,URGENT,0.8175796912665292,81.76,81.76,CRITICAL,CRITICAL,1,Long time since last purchase,1211,3148.1160000000004,1,1830.3,1496.42,84.17400586948145,Immediate high-value retention intervention,True,True
