product_name,date,predicted_sales,forecast_year
Basketball,2026-01-01,672.9623,2026
Basketball,2026-02-01,1293.1493,2026
Basketball,2026-03-01,1443.1296,2026
Basketball,2026-04-01,1225.8181,2026
Basketball,2026-05-01,1179.9806,2026
Basketball,2026-06-01,1204.6921,2026
Basketball,2026-07-01,1169.6047,2026
Basketball,2026-08-01,827.0445,2026
Basketball,2026-09-01,1229.3258,2026
Basketball,2026-10-01,1154.1515,2026
Basketball,2026-11-01,1174.0326,2026
Basketball,2026-12-01,1149.6478,2026
Blender,2026-01-01,701.7492,2026
Blender,2026-02-01,1760.9132,2026
Blender,2026-03-01,1131.7253,2026
Blender,2026-04-01,962.2646,2026
Blender,2026-05-01,1226.3134,2026
Blender,2026-06-01,1153.6753,2026
Blender,2026-07-01,1401.7078,2026
Blender,2026-08-01,1008.0239,2026
Blender,2026-09-01,1176.3422,2026
Blender,2026-10-01,763.76636,2026
Blender,2026-11-01,821.269,2026
Blender,2026-12-01,1308.286,2026
Bluetooth Speaker,2026-01-01,1681.7352,2026
Bluetooth Speaker,2026-02-01,1956.0717,2026
Bluetooth Speaker,2026-03-01,1489.2372,2026
Bluetooth Speaker,2026-04-01,1142.4165,2026
Bluetooth Speaker,2026-05-01,854.5718,2026
Bluetooth Speaker,2026-06-01,676.86,2026
Bluetooth Speaker,2026-07-01,995.348,2026
Bluetooth Speaker,2026-08-01,935.1807,2026
Bluetooth Speaker,2026-09-01,792.34937,2026
Bluetooth Speaker,2026-10-01,1182.3674,2026
Bluetooth Speaker,2026-11-01,856.4668,2026
Bluetooth Speaker,2026-12-01,1423.8707,2026
Camera,2026-01-01,509.23395,2026
Camera,2026-02-01,1416.1576,2026
Camera,2026-03-01,1166.062,2026
Camera,2026-04-01,1140.4264,2026
Camera,2026-05-01,1055.9579,2026
Camera,2026-06-01,1493.2175,2026
Camera,2026-07-01,772.24316,2026
Camera,2026-08-01,1239.67,2026
Camera,2026-09-01,828.0773,2026
Camera,2026-10-01,1000.7506,2026
Camera,2026-11-01,1030.3884,2026
Camera,2026-12-01,1066.4905,2026
Chair,2026-01-01,1837.9979,2026
Chair,2026-02-01,1304.3196,2026
Chair,2026-03-01,1067.9852,2026
Chair,2026-04-01,648.00903,2026
Chair,2026-05-01,1050.3029,2026
Chair,2026-06-01,741.2341,2026
Chair,2026-07-01,1145.0424,2026
Chair,2026-08-01,691.92487,2026
Chair,2026-09-01,767.746,2026
Chair,2026-10-01,1030.245,2026
Chair,2026-11-01,888.18915,2026
Chair,2026-12-01,1407.5748,2026
Conditioner,2026-01-01,1477.8988,2026
Conditioner,2026-02-01,1407.465,2026
Conditioner,2026-03-01,1357.2072,2026
Conditioner,2026-04-01,1271.8014,2026
Conditioner,2026-05-01,1130.7528,2026
Conditioner,2026-06-01,589.93884,2026
Conditioner,2026-07-01,940.2169,2026
Conditioner,2026-08-01,888.59015,2026
Conditioner,2026-09-01,911.453,2026
Conditioner,2026-10-01,855.74976,2026
Conditioner,2026-11-01,1334.5914,2026
Conditioner,2026-12-01,1592.2134,2026
Cricket Bat,2026-01-01,1162.1583,2026
Cricket Bat,2026-02-01,1000.87024,2026
Cricket Bat,2026-03-01,1069.2605,2026
Cricket Bat,2026-04-01,1540.9717,2026
Cricket Bat,2026-05-01,1328.4551,2026
Cricket Bat,2026-06-01,1216.3539,2026
Cricket Bat,2026-07-01,1358.4957,2026
Cricket Bat,2026-08-01,1275.4573,2026
Cricket Bat,2026-09-01,843.7122,2026
Cricket Bat,2026-10-01,740.1455,2026
Cricket Bat,2026-11-01,991.4854,2026
Cricket Bat,2026-12-01,1079.6829,2026
Cycling Helmet,2026-01-01,1575.2587,2026
Cycling Helmet,2026-02-01,1325.2681,2026
Cycling Helmet,2026-03-01,1274.3744,2026
Cycling Helmet,2026-04-01,1140.5927,2026
Cycling Helmet,2026-05-01,1031.5267,2026
Cycling Helmet,2026-06-01,917.3566,2026
Cycling Helmet,2026-07-01,1317.7523,2026
